lead_time,n,14d_ma_wape,28d_ma_wape,weekday28_wape,lightgbm_wape,lightgbm_bias
3,174,0.11271020737206046,0.10466336777433675,0.09873863058831776,0.09254380329489029,0.00542969378319121
5,112,0.06838256249245261,0.06345900253592562,0.06855114116652578,0.06861207585701971,0.014436501714600529
7,378,0.10311203733912151,0.09584712133217037,0.09584712133217037,0.08352985851942289,0.007665780044391614
10,204,0.07789191157469402,0.06456683972717521,0.062042632790659434,0.05994471133988271,0.01568490797785408
14,344,0.0835587273655511,0.06836879894852327,0.06836879894852327,0.05932872505115923,-0.015246180720685211
